Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm
1,6.38227284,3.167334316,4.988788494,0.317011721
2,6.3359114,2.220556704,5.481817954,0.201321198
3,5.154228011,3.440815423,6.681513906,0.431595389
4,4.206564814,2.054195555,1.360729606,0.152475587
5,6.075418796,2.509954696,1.534351849,0.473873738
6,5.770223484,2.192430769,1.887038261,0.097121882
7,5.03330377,3.597865669,3.140207347,0.330023345
8,6.214106763,2.19300854,6.133916196,0.242871557
9,4.558965222,3.762067939,3.07679183,0.176889293
10,6.864083618,2.731035771,1.09101397,0.105018947
11,6.588683081,2.955624788,6.780483739,0.828525486
12,5.746425702,3.492571163,3.970054169,0.379366493
13,5.047610988,2.500251834,1.853775537,0.2923279
14,6.383262528,3.310869878,1.021915263,0.943575405
15,6.056080925,2.915508894,6.392141252,0.402979072
16,5.939546704,2.34495465,4.456210258,0.132731927
17,6.665696263,3.869952343,6.934186352,0.325851849
18,6.820589615,3.006273899,2.963347701,0.571280034
19,4.340761956,2.991240469,5.716024691,0.977893065
20,5.127677742,2.306230707,4.467719287,0.627056133
21,6.431690754,3.082135105,4.461815988,0.620531288
22,5.424141333,2.485278977,1.805412298,0.063055503
23,6.235462921,3.520957072,6.401565115,0.797194207
24,5.442821523,3.809951569,3.84351175,0.307554183
25,6.373762302,3.763519069,2.746704366,0.484759013
26,6.634112118,3.053894172,4.107966755,0.639402844
27,5.424149379,2.85461168,3.579126509,0.36627161
28,6.611424985,2.687149737,6.577774957,0.452592129
29,4.759155692,3.89715685,2.901396743,0.641472563
30,4.338383164,3.491465262,2.217347919,0.762321479
31,4.875293381,2.0468179,6.687946484,0.436811793
32,5.097092223,3.371044122,2.657582494,0.368166647
33,5.253378663,3.551815093,5.063621866,0.743698444
34,4.605200053,3.262327863,2.582676169,0.234388061
35,4.131058915,3.221314186,6.237482943,0.066401605
36,5.264432102,2.568992925,1.84880728,0.525762763
37,6.930473194,3.808732557,4.749091924,0.932538841
38,5.596978017,2.671587968,6.199490672,0.238034626
39,5.631370014,3.747770476,1.737149929,0.076444703
40,5.436241816,3.754910808,6.698366309,0.919077717
41,5.286059146,2.274299376,6.891319129,0.868112378
42,6.899398965,2.370773223,1.965579802,0.186569915
43,4.736655018,2.780927131,2.014149805,0.274172707
44,5.150375584,3.97531189,4.10833516,0.043769244
45,6.945776295,3.418121245,2.142237784,0.94411351
46,4.836487252,3.807432866,6.966335123,0.018283839
47,4.555033532,3.286816223,1.438202351,0.71682171
48,5.287462429,3.568498786,5.315276655,0.43560351
49,4.22605107,3.455971115,6.453074192,0.574719783
50,4.032460289,3.998174668,5.146777844,0.206043139
51,6.055232636,3.983337588,2.60883396,0.344703461
52,6.689708436,3.844758298,5.654610548,0.393807743
53,4.764236464,3.814686467,5.151832254,0.415439961
54,4.808138368,3.38938313,2.712493786,0.430263447
55,5.549389265,2.445143448,1.811778453,0.002883795
56,5.494856337,3.968663621,2.057048286,0.086350675
57,6.395938838,2.775357865,2.174091027,0.479400373
58,6.075534303,3.880949017,4.770777786,0.78833996
59,6.892242105,2.408236968,3.39119476,0.95841278
60,4.100161644,3.256877177,6.762766159,0.345988472
61,5.535254677,3.787397712,3.977721134,0.747690444
62,6.96050723,2.559839773,3.079514212,0.239384135
63,5.081864809,2.410801515,3.389949332,0.729643946
64,6.669380032,3.85688403,5.198005638,0.002848005
65,5.242032921,2.877146105,5.62363992,0.6973969
66,6.239925776,3.660482492,1.11799701,0.62317619
67,6.785719043,2.127169887,1.426377467,0.626800612
68,6.72585482,3.94766063,5.275359795,0.862011688
69,4.542764884,2.563573827,4.570328471,0.129264486
70,4.379055359,2.574593512,1.977684951,0.285854028
71,6.721211327,2.636238001,3.393292898,0.322366031
72,6.411195056,2.867718159,1.630332628,0.996443299
73,6.576028047,2.11330755,2.501269454,0.160073642
74,4.177287387,3.257370412,1.004472111,0.689440949
75,5.414652086,3.265455889,4.55323746,0.112504914
76,5.301828626,2.123074718,1.395535059,0.257345534
77,5.806794291,2.642939028,3.089013123,0.481219416
78,4.621589807,2.090900777,6.337635432,0.254685975
79,4.451816986,2.780981215,2.314080581,0.94457106
80,6.365431822,2.655927353,4.090020392,0.677292465
81,6.172986558,2.377050519,4.262737254,0.906932852
82,6.033279582,2.179368167,5.269393749,0.554863659
